app_id,app_name,cost_center_id
1001,LoanOrigination,101
1002,MortgagePOS,101
1003,AppraisalMgmt,101
1004,PersonalLoanApp,102
1005,CreditScoring,102
1006,CollectionsMgmt,102
1007,DepositCore,103
1008,SavingsPortal,103
1009,InterestCalc,103
2001,EquityOMS,201
2002,RiskEngine,201
2003,TradeBlotter,201
2004,BondPricer,202
2005,YieldCurveAnalytics,202
2006,DurationCalc,202
2007,CDSPricer,203
2008,StructuredDealMgmt,203
3001,CreditRiskDashboard,301
3002,PD_LGD_Model,301
3003,MarketRiskVaR,302
3004,StressTestPlatform,302
3005,AMLScreening,303
3006,SARReporting,303
4001,CloudConsole,401
4002,CostOptimizer,401
4003,DataPipeline,402
4004,DataCatalog,402
4005,SOCMonitor,403
4006,IdentityMgmt,403
5001,FinancialReportingHub,501
5002,TreasuryWorkstation,502
5003,TaxCompliance,503
